text,language
Học xong lớp cậu phải xuống thị xã Đồng Hới học tiếp Đồng Hới thuộc tỉnh lỵ Quảng Bình cách làng An Xá của cậu trên km nằm bên bờ Nhật Lệ trong xanh lung linh soi bóng Lũy thầy với thành cổ bao quanh từ thời Gia Long năm thứ và được xây lại bằng gạch năm Minh Mạng thứ sáu,vietnamese
Những năm học ở thị xã Đồng Hới cậu Giáp ở trọ nhà người quen của cụ Nghiêm,vietnamese
Cậu được gia chủ quý mến coi như con cháu trong nhà không lấy tiền trọ cậu được học với nhà sư phạm có tiếng thầy giáo Đào Duy Anh,vietnamese
Hai năm học ở tiểu học Đồng Hới hàng tháng cậu luôn đứng đầu lớp,vietnamese
Tại kỳ thi tốt nghiệp bậc sơ học cậu đỗ đầu toàn tỉnh,vietnamese
Hồi đó đạt được trình độ ấy là không dễ vì thực dân Pháp hạn chế mở trường học và muốn duy trì nạn mù chữ để dễ cai trị,vietnamese
Về làng cậu được dân làng nể trọng gia đình rất tự hào về cậu,vietnamese
Năm tuổi Võ Nguyên Giáp thi trượt trường Quốc học Huế,vietnamese
Trường này chỉ tuyển học sinh cho tỉnh miền Trung Việt Nam,vietnamese
Năm Võ Nguyên Giáp rời trường Tiểu học Đồng Hới ở quê nhà Quảng Bình để vào Huế ôn thi vào trường Quốc học Huế ông đỗ thứ hai sau Nguyễn Thúc Hào,vietnamese
Trong năm học ông luôn đứng đầu lớp trừ tháng bị rớt xuống hạng nhì,vietnamese
Trong thời gian này cậu Giáp có vài lần đến thăm nhà yêu nước Phan Bội Châu để nghe thuyết giảng về lý tưởng Cách mạng,vietnamese
Trên tường nhà Cụ Châu có treo những nhà tư tưởng nổi bật mà cụ tôn kính là Tôn Dật Tiên Vladimir Ilyich Lenin và Đức Phật Thích Ca điều đó khiến cậu càng say mê theo đuổi chân lý của lịch sử,vietnamese
Năm ông bị đuổi học cùng với Nguyễn Chí Diểu Nguyễn Khoa Văn tức Hải Triều Phan Bôi sau khi tổ chức một cuộc bãi khóa,vietnamese
Ông về quê và được Nguyễn Chí Diểu giới thiệu tham gia Tân Việt Cách mạng Đảng một đảng theo chủ nghĩa dân tộc nhưng có màu sắc cộng sản thành lập năm ở miền Trung Việt Nam,vietnamese
Nguyễn Chí Diểu cũng giới thiệu Võ Nguyên Giáp vào làm việc ở Huế tại nhà xuất bản Quan hải tùng thư do Đào Duy Anh sáng lập và ở báo Tiếng dân của Huỳnh Thúc Kháng,vietnamese
Tại đây Võ Nguyên Giáp bắt đầu học nghề làm báo chuẩn bị cho giai đoạn hoạt động báo chí trong thời Mặt trận Bình dân Pháp,vietnamese
Tháng năm tại Trường Quốc học Huế lại diễn ra một cuộc bãi khóa rầm rộ với quy mô lớn,vietnamese
Nguyễn Chí Diểu bị tên giám thị Pháp chú ý coi là kẻ cầm đầu những cuộc đấu tranh bãi khóa ở trường nên đuổi học,vietnamese
Võ Nguyên Giáp liền bàn với Nguyễn Khoa Văn tiếp tục tổ chức bãi khóa để phản đối việc Diểu bị đuổi học,vietnamese
Cuộc bãi khóa của học sinh Trường Quốc học Huế lan rộng ra khắp các trường ở Huế và phát triển thành cuộc tổng bãi khóa,vietnamese
Võ Nguyên Giáp bị bắt rồi bị đuổi học phải trở về quê nhà,vietnamese
Bỗng nhiên một hôm Nguyễn Chí Diểu lặn lội từ Huế về làng An Xá tìm gặp Võ Nguyên Giáp,vietnamese
Nguyễn Chí Diểu mang theo một tập tài liệu về Liên đoàn các dân tộc bị áp bức trên thế giới và một số văn kiện cuộc họp của Việt Nam Thanh niên Cách mạng Đồng chí Hội ở Quảng Châu trong đó có bài phát biểu của lãnh tụ Nguyễn Ái Quốc,vietnamese
Võ Nguyên Giáp đọc rất xúc động Bài luận văn của Nguyễn Ái Quốc đã gây cho chúng tôi một lòng căm phẫn sâu sắc như một luồng điện giật,vietnamese
Đó là sợi dây đầu tiên nối liền số mệnh của Võ Nguyên Giáp với Hồ Chí Minh và sự nghiệp Cách mạng Việt Nam,vietnamese
Mùa hè năm Võ Nguyên Giáp trở lại Huế bước vào đời của một chiến sĩ cách mạng,vietnamese
Tại Huế Nguyễn Chí Diểu giới thiệu Võ Nguyên Giáp đến làm việc ở Quan Hải Tùng thư một nhà xuất bản do Tổng bộ Tân Việt chủ trương trụ sở đặt ở phố Đông Sa,vietnamese
Tại đây Võ Nguyên Giáp có điều kiện tiếp xúc với những học thuyết kinh tế xã hội dân tộc cách mạng,vietnamese
Đặc biệt là cuốn Bản án chế độ thực dân Pháp và tờ báo Người cùng khổ Le Paria do Nguyễn Ái Quốc viết từ Pháp gửi về,vietnamese
Đầu tháng năm trong sự kiện Xô Viết Nghệ Tĩnh Võ Nguyên Giáp bị bắt và bị giam ở Nhà lao Thừa phủ Huế cùng với người yêu là Nguyễn Thị Quang Thái em trai là Võ Thuần Nho và các giáo sư Đặng Thai Mai Lê Viết Lượng,vietnamese
Sau này Nguyễn Thị Quang Thái trở thành vợ đầu tiên của Võ Nguyên Giáp và sinh cho ông một con gái tên là Võ Hồng Anh,vietnamese
Nguyễn Thị Quang Thái hẹn với ông rằng khi con cứng cáp sẽ đi thoát ly hoạt động,vietnamese
Nhưng cả hai không ngờ lần chia tay năm cũng là lần vĩnh biệt Nguyễn Thị Quang Thái bị Pháp bắt giam và chết ngay trong ngục tù,vietnamese
Bà qua đời khi còn rất trẻ nhiều người biết đến bà như một hình tượng người phụ nữ mẫu mực kiên trung yêu nước,vietnamese
Cuối năm nhờ sự can thiệp của Hội Cứu tế Đỏ của Pháp Võ Nguyên Giáp được trả tự do nhưng lại bị Công sứ Pháp tại Huế ngăn cấm không cho ở lại Huế,vietnamese
Do bận rộn hoạt động cách mạng vào năm ông bỏ dở học chương trình năm thứ tư về Kinh tế Chính trị và không lấy bằng Luật sư,vietnamese
Từ đến Võ Nguyên Giáp tham gia phong trào Mặt trận Dân chủ Đông Dương là sáng lập viên của mặt trận và là Chủ tịch Ủy ban Báo chí Bắc Kỳ trong phong trào Đông Dương đại hội,vietnamese
Ông tham gia thành lập và làm báo tiếng Pháp Notre voix Tiếng nói của chúng ta Le Travail Lao động biên tập các báo Tin tức Dân chúng,vietnamese
Tháng năm Võ Nguyên Giáp nhận dạy môn lịch sử tại Trường Tư thục Thăng Long Hà Nội do Hoàng Minh Giám làm giám đốc nhà trường,vietnamese
Học sinh của ông mô tả rằng ông có thể vẽ lên bảng đen sơ đồ từng trận đánh của Napoléon ông sôi nổi kể về Công xã Paris về cái chết của những nhà Cách mạng như Danton và Robespierre ông không chỉ là nhà sử học đơn thuần ông còn là một trạng sư say mê luôn bênh vực tính chính nghĩa của lịch sử,vietnamese
Học trò của Võ Nguyên Giáp là Bùi Diễm sau này trở thành đại sứ Việt Nam Cộng hòa tại Mỹ nhớ về ông như một người bị quỷ thần ám ảnh về cách mạng và các trận chiến,vietnamese
Người ta kể lại khi một giáo viên khác hỏi ông Không chơi kiểu Napoleon à ông đã trả lời Mình sẽ là một Napoleon,vietnamese
Sau này khi trả lời phỏng vấn ông hay có điệu bộ như hoàng đế Napoleon đang độc thoại trước các nhà báo,vietnamese
Ngày tháng năm Võ Nguyên Giáp với bí danh là Dương Hoài Nam 楊懷南 cùng Phạm Văn Đồng lên Lào Cai rồi vượt biên sang Trung Quốc để gặp Hồ Chí Minh,vietnamese
Chỉ sau một thời gian ngắn Hồ Chí Minh đã thấy Võ Nguyên Giáp là người triển vọng nên liên hệ với Đảng cộng sản Trung Quốc và cử anh đi học quân sự tại căn cứ địa Diên An,vietnamese
Trên đường tới Diên An anh được Hồ Chí Minh gọi quay lại vì tình hình thế giới có nhiều thay đổi lớn,vietnamese
Hồ Chí Minh nhận định tình hình Đông Dương sẽ chuyển biến nhanh cần gấp rút trở về nước chuẩn bị đón thời cơ,vietnamese
Ông gia nhập Đảng Cộng sản Đông Dương trong năm này và bắt đầu các hoạt động của mình trong Việt Nam Độc lập Đồng minh Hội một tổ chức chống phátxít và đấu tranh cho độc lập của Việt Nam,vietnamese
Năm đúng dịp tết Nguyên đán Tân Tỵ Võ Nguyên Giáp cùng Hồ Chí Minh trở về Cao Bằng,vietnamese
Trong thời gian ở hang Pác Bó Hồ Chí Minh tiên đoán cách mạng sẽ thành công vào năm một dự đoán chuẩn xác Trong năm nữa tính từ cách mạng sẽ thành công điều chúng ta mong đợi sẽ tỏa sáng,vietnamese
Niềm tin sắt đá đó đã giúp Võ Nguyên Giáp và các đồng chí có thêm niềm tin vào tương lai,vietnamese
Đời sống ở Việt Bắc rất cực khổ ông kể Tìm được cái ăn đã là chiến công,vietnamese
Nhiều người bối rối dao động có người e ngại làm sao Cách mạng thành công khi không có súng và lấy đâu ra súng Những lúc ấy ông không bao giờ quên lời dạy của Hồ Chủ tịch Chúng ta sẽ dựa vào sức mình là chính cùng với một ít viện trợ từ nước ngoài,vietnamese
Ông tham gia xây dựng cơ sở cách mạng mở lớp huấn luyện quân sự cho Việt Minh ở Cao Bằng,vietnamese
Trong thời gian này Pháp tăng cường càn quét Việt Bắc ai mang tài liệu Việt Minh sẽ bị bắn ngay,vietnamese
Võ Nguyên Giáp nhớ lại trong thời gian này ông thường mang theo một quả lựu đạn để nếu bị bắt thì sẽ cho nổ để vừa chết nhanh chóng vừa kéo theo được vài tên địch,vietnamese
Ngày tháng năm theo hướng dẫn của Hồ Chí Minh ông thành lập đội Việt Nam Tuyên truyền Giải phóng quân tại chiến khu Trần Hưng Đạo với người được trang bị súng thập một loại súng ngắn súng trường súng kíp và súng máy,vietnamese
Đây là tổ chức tiền thân của Quân đội nhân dân Việt Nam,vietnamese
Ngày tháng năm ông đã chỉ huy đội quân này lập chiến công đầu tiên là tập kích diệt gọn hai đồn Phai Khắt và Nà Ngần,vietnamese
Ngày tháng năm ông trở thành uỷ viên Ban chấp hành Trung ương Đảng Cộng sản Đông Dương sau đó là ủy viên Thường vụ Trung ương tham gia Ủy ban Khởi nghĩa toàn quốc,vietnamese
Cách mạng Tháng Tám thành công quốc gia Việt Nam Dân chủ Cộng hòa thành lập Võ Nguyên Giáp được cử làm Bộ trưởng Bộ Nội vụ và Phó Bộ trưởng Thứ trưởng thường trực Bộ Quốc phòng trong Chính phủ lâm thời từ ngày tháng đến hết năm và là Tổng chỉ huy Quân đội Quốc gia và Dân quân tự vệ năm,vietnamese
Ngay sau khi thành lập Võ Nguyên Giáp thay mặt Hồ Chí Minh Chủ tịch Chính phủ Cách mạng Lâm thời ban hành các sắc lệnh giải tán một số đảng phái với lý do các đảng này tư thông với ngoại quốc làm phương hại đến nền độc lập Việt Nam như Việt Nam Quốc xã Đại Việt Quốc dân đảng,vietnamese
nhằm kịp thời trừng trị bọn phản cách mạng bảo vệ chính quyền non trẻ đồng thời giáo dục ý thức về tinh thần cảnh giác cho nhân dân đồng thời Chủ tịch Hồ Chí Minh cho phép Ty Liêm phóng có thể bắt những hạng người bị quy là nguy hiểm cho nền Dân chủ cộng hoà Việt Nam,vietnamese
Cùng với đó Chủ tịch Hồ Chí Minh ký sắc lệnh giải tán các nghiệp đoàn để kiểm soát nền kinh tế thống nhất các tổ chức thanh niên vào Đoàn Thanh niên Cứu quốc Việt Nam,vietnamese
Đồng thời Chính phủ cũng ban hành sắc lệnh thành lập Hội đồng nhân dân và Ủy ban hành chính địa phương các cấp,vietnamese
Ở miền Bắc hơn vạn quân Tưởng Giới Thạch theo sự phân công của phe Đồng Minh tiến vào miền Bắc Việt Nam để giải giáp quân Nhật,vietnamese
Theo Việt Minh đội quân này mang theo kế hoạch Diệt Cộng Cầm Hồ,vietnamese
Đội quân Quốc dân Đảng Trung Quốc chạy trốn Đảng Cộng sản Trung Quốc đã tiến hành các hoạt động cướp bóc trên đường xuống phía Nam đến Hà Nội,vietnamese
Trong hồi ký Những năm tháng không thể nào quên Võ Nguyên Giáp mô tả quân đoàn của Vũ Kim Thành đi cùng là Việt Cách tàn phá suốt dọc miền Đông Bắc Bắc Kỳ lực lượng của Vũ Hồng Khanh Việt Nam Quốc dân Đảng và của Nguyễn Tường Tam Đại Việt đi theo quân đoàn Vân Nam cũng tiến hành những bài bản cướp bóc tương tự dọc theo hành lang Tây Bắc từ Lào Cai đến Yên Bái Phú Thọ,vietnamese
Võ Nguyên Giáp mô tả lãnh đạo Việt Quốc Việt Cách như những người đã bỏ xứ sở mà đi tự cho mình là những người yêu nước phụng sự cho Chủ nghĩa Quốc gia nhưng thực tế chỉ là một nhóm phản động đang ra sức thu vén làm giàu cho bản thân nhờ vào sự giúp đỡ của Trung Quốc và rằng Trung Hoa Quốc dân Đảng đã tô vẽ cho nhiều tên phản bội người Việt,vietnamese
Trong hai ngày và tháng năm Việt Minh họp bí mật với Việt Cách ngày tháng năm và Việt Quốc ngày tháng năm,vietnamese
Trong hai cuộc họp này Nguyễn Hải Thần đại diện Việt Cách và Nguyễn Tường Tam đại diện Việt Nam Quốc dân Đảng đề nghị Hồ Chí Minh đồng ý hợp nhất Việt Minh với Việt Cách và Việt Nam Quốc dân Đảng,vietnamese
Đối với lời đề nghị này trong nội bộ Việt Minh có nhiều ý kiến khác nhau,vietnamese
Hoàng Minh Giám nghĩ rằng việc hợp nhất Việt Minh với các đảng phái Quốc gia sẽ làm giảm bớt sự đối lập và tăng cường thế lực cho Việt Minh làm người Trung Quốc yên lòng còn Pháp phải lo ngại quan trọng nhất là Chính phủ Việt Nam Dân chủ Cộng hòa trong con mắt của Đồng Minh đặc biệt là Mỹ là chính phủ thật sự dân chủ,vietnamese
Võ Nguyên Giáp thì dứt khoát không đồng ý theo ông những đề nghị đó không có giá trị và không thật thà nó chẳng khác gì thay thế chủ nghĩa thực dân Pháp bằng ách thống trị của Trung Quốc và nhân dân Việt Nam sẽ chẳng bao giờ chịu bán rẻ sự nghiệp chính nghĩa của họ để đổi lấy đô la Trung Quốc,vietnamese
Cuối cùng Việt Minh đã từ chối hợp nhất với Việt Cách và Đại Việt Quốc dân Đảng,vietnamese
Ngày tháng năm sau một hội nghị hòa giải có Việt Nam Quốc dân Đảng Việt Nam Cách mạng Đồng minh hội và Việt Minh tham gia do tướng Tiêu Văn tổ chức Chính phủ Liên hiệp Lâm thời được thành lập thay thế Chính phủ Cách mạng Lâm thời với sự tham gia của một số đảng phái đối lập Việt Cách Việt Quốc,vietnamese
hoạt động ở Trung Quốc với sự bảo trợ của Trung Hoa Quốc Dân Đảng,vietnamese
Bộ trưởng Quốc phòng trở thành người lo về tài chính mà không được xem xét danh sách nhân sự quân số súng đạn còn các Bộ trưởng khác của các đảng phái Quốc gia chẳng có chức trách cụ thể gì không bao giờ được tham dự bất cứ buổi họp nào của nội các,vietnamese
Ngày tháng năm Chính phủ Liên hiệp Lâm thời do Chủ tịch Hồ Chí Minh đứng đầu đã tổ chức cuộc Tổng tuyển cử trên toàn quốc lần đầu tiên đã bầu Quốc hội và thông qua Hiến pháp,vietnamese
Nhiều đảng phái không có quyền tham gia Tổng tuyển cử đã tìm cách phá hoại,vietnamese
Các đảng này cho là trúng cử chỉ là Việt Minh cộng sản chính quyền trong tay nên Việt Minh muốn ai trúng cũng được,vietnamese
Võ Nguyên Giáp cho rằng các đảng phái này tẩy chay bầu cử vì họ biết rằng mình không có uy tín trong nhân dân như Hồ Chí Minh nếu ứng cử thì chắc chắn sẽ thua,vietnamese
Theo Báo Đại đoàn kết mặc dù bị nhiều đảng phái tuyên truyền vận động dân chúng tẩy chay cuộc bầu cử và ngăn cản việc tổ chức bầu cử ở một số nơi nhưng tại các địa phương ở đâu cũng có người tự ứng cử các cuộc tiếp xúc tranh cử công khai tự do diễn ra ở khắp mọi nơi,vietnamese
Tuy nhiên lá phiếu không bí mật và theo quan sát của sử gia Trần Trọng Kimb thì có nơi người dân bị cưỡng bách bầu cho Việt Minh,vietnamese
Sau khi kết quả bầu cử được công bố sự thật hoàn toàn không như các đảng phái tuyên truyền,vietnamese
Nhiều đại biểu có uy tín của các giai cấp tầng lớp tôn giáo dân tộc đều trúng cử tại Quốc hội khóa I hầu hết chưa là đảng viên,vietnamese
Ông được bầu làm đại biểu quốc hội khóa đầu tiên và liên tiếp kỳ sau,vietnamese
Sau khi Quốc hội được bầu ngày tháng năm Chính phủ Liên hiệp Kháng chiến được thành lập để thay thế Chính phủ Liên hiệp Lâm thời,vietnamese
Ở các địa phương các cấp chính quyền liên hiệp được thành lập trong năm,vietnamese
Theo thỏa thuận với Việt Minh phe đối lập bao gồm một số tổ chức như Việt Nam Cách mạng Đồng minh hội và Việt Nam Quốc dân Đảng được Trung Hoa Dân quốc ủng hộ không tham gia Tổng tuyển cử nhưng vẫn được nắm ghế Quốc hội cùng nhiều vị trí trong chính quyền trung ương do chính sách hòa hợp các đảng phái của Chính phủ,vietnamese
Trong hồi ký Những năm tháng không thể nào quên đại tướng Võ Nguyên Giáp nhận định các đảng phái này lo sợ thất bại trước sức ủng hộ lớn của cử tri với mặt trận Việt Minh nên không tham gia bầu cử,vietnamese
Thay vào đó các đàng phái này dùng sự ủng hộ của Trung Hoa Dân quốc để gây sức ép nhằm giành ghế trong quốc hội mà không cần qua bầu cử,vietnamese
Cũng trong năm ông kết hôn với bà Đặng Bích Hà con gái giáo sư Đặng Thai Mai,vietnamese
Trong thời gian hoạt động Chính phủ Liên hiệp Kháng chiến tiếp tục thực hiện các biện pháp chính sách để giữ vững nền độc lập của nước Việt Nam dân chủ non trẻ,vietnamese
Về đối nội đã kêu gọi các đảng phái đoàn kết phụng sự quốc gia thực hiện các chính sách kinh tế quốc phòng văn hóa giáo dục,vietnamese
Việt Nam Quốc dân Đảng và Đại Việt Quốc dân đảng đã tổ chức các đội vũ trang như Thần lôi đoàn Thiết huyết đoàn Hùm xám,vietnamese
Các đội này đã tổ chức nhiều vụ cướp có vũ trang bắt cóc tống tiền tổ chức ám sát những người theo Việt Minh và cả những người trung lập như ông Ba Viên Ba Viên bị Quốc dân Đảng nghi ngờ là gián điệp của Pháp sau khi gặp Hồ Chí Minh Ba Viên quay về Hà Giang bắt giữ và hành quyết một số đảng viên Việt Nam Quốc dân Đảng rồi tuyên truyền đổ lỗi cho Việt Minh đã không đảm bảo được an ninh trật tự ở Hà nội và một số đô thị ở Bắc Bộ,vietnamese
Điều tệ hại nhất là quân Trung Hoa Dân Quốc gây sức ép để thành viên Việt Nam Quốc dân Đảng được nắm những ghế quan trọng trong chính phủ,vietnamese
Theo Võ Nguyên Giáp kể lại Bọn chúng Việt Nam Quốc dân đảng đội lốt chủ nghĩa quốc gia nhưng chính là một bọn phản động lệ thuộc vào Trung Hoa Quốc dân Đảng của Tưởng Giới Thạch và sức mạnh quân sự của chúng chỉ để nhặt nhạnh chút cơm thừa canh cặn,vietnamese
Thiếu tá Mỹ thuộc OSS và là bạn của tướng Giáp Al Patti cũng cùng quan điểm,vietnamese
Sau khi thảo luận với các đảng viên Việt Nam Quốc dân đảng ông cho rằng họ không biết phải làm gì để đáp ứng nhu cầu của nhân dân không một ai có khái niệm về công việc sẽ làm mà chỉ chăm chăm mục tiêu tranh giành quyền lãnh đạo với Việt Minh,vietnamese
Ông ta nhận xét Họ Việt Nam Quốc dân Đảng là những kẻ lạc hướng về chính trị có lẽ vì sống quá lâu ở Trung Quốc,vietnamese
Hồ Chí Minh giao cho Võ Nguyên Giáp và Trần Quốc Hoàn sau này trở thành Bộ trưởng Công an nhiệm vụ vô hiệu hóa các cuộc biểu tình do Việt Nam Quốc dân Đảng và Việt Nam Cách mệnh Đồng minh Hội tổ chức nhằm chấm dứt hoạt động tuyên truyền của các đảng này trong dân chúng,vietnamese
Võ Nguyên Giáp kể lại Chúng tôi phải trừng trị bọn phá hoại,vietnamese
Nhưng bằng mọi giá phải tránh khiêu khích và đảm bảo không xảy ra xung đột lớn,vietnamese
Võ Nguyên Giáp dùng lực lượng tự vệ và các hội viên Hội Cứu Quốc phá các cuộc biểu tình này,vietnamese
Khi có lộn xộn lính Trung Quốc bắn chỉ thiên xông vào giải tán đám biểu tình để vãn hồi trị an,vietnamese
Việt Nam Quốc dân Đảng hoảng hốt khi người Trung Hoa không giúp được gì nhiều trong việc chống lại Việt Minh như họ mong đợi,vietnamese
Ông Nguyễn Duy Thanh một người theo chủ nghĩa quốc gia buồn rầu nhớ lại Không có Trung Hoa ủng hộ những đảng phái theo chủ nghĩa quốc gia chẳng thể đối phó được với những người Cộng sản,vietnamese
Sự chống đối của các đảng phái khiến Võ Nguyên Giáp rất tức giận vì nó làm cản trở các nỗ lực của Chính phủ để đối phó với Pháp cũng như khiến chính phủ phải liên tục đề phòng quân đội Trung Hoa,vietnamese
Có những lần các đơn vị tự vệ thu nhặt những tờ truyền đơn do các đảng đối lập thân Trung Hoa rải trên phố phường lập tức Hồ Chí Minh bị quân đội Trung Hoa gọi đến trụ sở và bị răn đe,vietnamese
Võ Nguyên Giáp đề nghị dẹp bỏ sự chống đối để Chính phủ có thể loại trừ nguy cơ đảo chính và yên tâm đối phó với Pháp nhưng Hồ Chí Minh khuyên ông kiên nhẫn vì ném chuột phải tránh vỡ bình quý chẳng có gì phải sợ các nhóm đối lập này vì họ quá yếu kém nhưng họ có quan thầy chống lưng hàm ý là phải nín nhịn các đảng phái đối lập thân Trung Hoa để tránh xung đột,vietnamese
Sau khi Hiệp định sơ bộ được ký với Pháp vào tháng năm quân Pháp sẽ ra miền Bắc thay thế quân Trung Hoa,vietnamese
Các nhóm đối lập thân Trung Hoa bao gồm Việt Nam Quốc dân đảng sợ bị mất chỗ dựa,vietnamese
Theo Jean Sainteny các nhóm này đã cài người vào đám đông để kích động nhân dân gây bạo loạn nhằm tìm cách phá bỏ hiệp định kích động xung đột Việt Pháp một kẻ giấu mặt thậm chí đã ném một quả lựu đạn vào đám đông may mắn là kẻ này quên rút chốt lựu đạn,vietnamese
Sự có mặt của quân đội Tưởng Giới Thạch cho tới lúc đó đã đảm bảo sự tồn tại của Việt Nam Quốc dân Đảng và Việt Nam Cách mệnh Đồng minh Hội,vietnamese
Hai đảng này không có một chương trình gắn kết với nhau để tranh thủ dân chúng như Việt Minh,vietnamese
Những người lãnh đạo Việt Nam Quốc dân Đảng và Việt Nam Cách mệnh Đồng minh Hội thì còn xa mới có được những phẩm chất có thể so sánh với Hồ Chí Minh Võ Nguyên Giáp và những người có trách nhiệm khác của Việt Minh,vietnamese
Khi quân đội Tưởng Giới Thạch rút khỏi Việt Nam ngày tháng năm những đảng phái theo chủ nghĩa quốc gia mất chỗ dựa,vietnamese
Võ Nguyên Giáp quyết định Việt Minh phải hoàn toàn điều khiển bộ máy chính quyền loại bỏ những kẻ chống đối trong nội bộ để tập trung đối phó với Pháp,vietnamese
Ông hối hả hành động ngay với mục tiêu rải khắp Việt Nam Cách mệnh Đồng minh Hội được Trung Hoa Quốc dân Đảng ủng hộ Việt Nam Quốc dân Đảng theo Cecil B,vietnamese
Currey tổ chức này chỉ mượn danh cách mạng của Việt Nam Quốc dân Đảng năm do Nguyễn Thái Học sáng lập còn theo David G,vietnamese
